Local Authority Name	Electorate	Number of Votes	Yes	No	Rejected Papers 	Estimated population (2013)	Estimated Males (2013)	Estimated Females (2013)	Area (square km)	Population density	Council expenditure per capita (£)	Total Population SAPE 2010	Best-fit Working Age Population	Overall SIMD 2012 Score	Overall SIMD 2012 Rank	Income domain 2012 rate	Number of Income Deprived People 2012	Income domain 2012 rank	Employment domain 2012 rate	Number of Employment Deprived People 2012	Employment domain 2012 rank	Health domain 2012 score	Health domain 2012 rank	Education Skills and Training domain 2012 score	Education Skills and Training domain 2012 rank	Housing domain score	Housing domain rank	Geographic Access domain 2012 score	Geographic Access domain 2012 rank	SIMD Crime 2012 score	SIMD Crime 2012 rank	Working age people with no qualifications	People aged 16-19 not in full time education	Proportion of 17-21 year olds entering higher education 	Pupil Performance on SQA at Stage 4	School Pupil Absences 
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	914	605	3.756734369	6233	1	10	6455	2	10	6404	-0.994522091	5679	-1.630549937	6317	6.594594595	5608	28.081854	1754	156	4691	21.99	2	16.04	226	3.7
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	723	408	4.422200104	6066	3	25	5849	2	10	6408	-0.304506287	4056	-1.590554412	6293	3.934871099	6105	22.1890832	2406	0	6486.5	26.28	5	20.69	208	3.2
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	685	387	5.748385242	5744	5	30	5342	4	15	5633	-0.264751765	3935	-1.197952792	5933	5.952380952	5723	12.45550919	3863	220	3905	40.52	0	14.29	190	3.8
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	807	420	3.713123612	6245	2	15	6375	2	10	6369	-0.96620506	5634	-1.509083486	6253	3.299492386	6210	28.13769126	1750	98	5469	48.06	0	17.14	233	3.6
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	591	379	44.52555617	700	28	165	686	21	80	1272	1.579588982	217	1.118332857	687	26.14475628	1457	15.06315256	3404	590	1429	179.21	19	0	146	9
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	1055	667	8.82921763	4991	7	75	4476	4	25	5902	0.356523005	2250	-0.801322849	5286	12.32876712	4248	12.83666229	3794	210	4011	46.78	6.25	6.78	208	4.2
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	785	402	4.399375881	6071	3	25	5962	1	5	6479	-0.093423264	3472	-1.595391298	6297	3.861003861	6122	17.78809604	2984	68	5864	35.79	3.125	11.88	226	2.8
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	792	468	37.07013463	1103	24	190	1047	20	95	1396	1.118416072	644	0.913605954	1058	23.06610408	1794	5.130065922	5342	827	742	136.9	13	0	134	9.2
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	1068	656	6.203732979	5629	2	25	6247	4	25	5987	-0.932570381	5563	-1.519188392	6260	4.671115348	5969	45.4231606	772	206	4058	37.04	3	35.53	227	4.2
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	677	421	42.68033045	784	27	180	803	22	90	1197	0.783360028	1223	1.419789026	325	30.42857143	1079	9.646590501	4392	1313	240	165.4	16	0	113	10.1
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	705	459	3.990559384	6181	2	15	6213	3	10	6210	-0.732024751	5151	-1.393535523	6145	2.987197724	6266	22.33696116	2385	175	4450	21.78	0	17.65	191	4.3
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	884	610	4.153630828	6141	1	10	6424	3	15	6267	-1.061393252	5783	-1.72465298	6371	4.713375796	5960	26.30948869	1940	330	2900	38.99	0	24.69	236	3.6
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	572	340	60.47133964	221	33	185	340	32	110	269	1.368559948	357	1.470044318	284	24.09012132	1676	20.44909055	2618	1344	226	163.43	17	0	119	10.6
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	1012	578	3.713328555	6244	2	15	6358	2	10	6385	-1.113349141	5862	-1.60438836	6303	2.931937173	6273	27.72309438	1799	168	4544	31.12	2	18.98	259	3.8
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	948	726	3.997848328	6179	3	35	5778	3	20	6146	-1.055140256	5772	-1.340583201	6086	23.03030303	1799	11.42656655	4048	276	3356	35.09	2	17.04	236	4.6
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	901	539	3.129959557	6340	2	20	6263	2	10	6317	-0.736341378	5163	-1.445180098	6202	9.110169492	5102	15.67333174	3309	143	4860	26.15	2	28.41	193	4.1
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	607	415	11.72550837	4322	9	55	3863	8	35	4162	-0.348122394	4184	-0.238492869	3834	21.2962963	2056.5	3.283120662	5752	607	1352	98.21	0	10.58	180	6.9
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	886	629	11.08685615	4475	7	60	4483	9	55	3893	-0.185788149	3704	-0.350878044	4151	21.11932418	2087	10.99409922	4130	304	3117	44.61	12.5	10.34	177	6.7
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	817	632	26.10129122	1971	10	80	3727	15	95	2352	0.97755333	860	0.624275153	1681	41.73333333	553	2.376277046	5975	2205	57	106.1	12	0	115	7.5
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	985	572	5.208567497	5885	4	45	5369	5	30	5401	-0.197063351	3732	-1.403022215	6157	8.174692049	5301	6.755952762	5017	116	5220	34.67	0	12.75	254	5.1
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	861	505	4.980903637	5945	4	35	5624	2	10	6324	-0.24205566	3866	-1.473230218	6225	10.67961165	4701.5	18.13630993	2920	138	4933	31.45	2	22.47	257	5.4
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	686	439	33.98622585	1290	21	140	1495	19	85	1647	1.008578804	801	0.938485058	1014	32.45614035	940	4.808729048	5415	945	539	150.78	13	0	159	9.3
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	645	386	25.27049538	2059	18	115	1920	16	65	2075	0.245638855	2535	0.544437869	1895	23.06501548	1795	10.74313661	4188	718	977	128.04	8	6.93	151	9.4
